Data,Vacinados
22/01/2021 16:15,91108
22/01/2021 16:22,91510
22/01/2021 16:29,91917
22/01/2021 16:29,91917
22/01/2021 16:29,91917
22/01/2021 16:29,91917
22/01/2021 16:29,91917
22/01/2021 16:50,93923
22/01/2021 16:57,94409
22/01/2021 17:04,94941
22/01/2021 17:04,94941
22/01/2021 17:04,94941
22/01/2021 17:04,94941
22/01/2021 17:04,94941
22/01/2021 17:30,387988
22/01/2021 17:35,22618
22/01/2021 17:39,94941
22/01/2021 17:46,97345
22/01/2021 17:46,97345
22/01/2021 17:53,97345
22/01/2021 17:53,97345
22/01/2021 07:53,56557
22/01/2021 18:08,99317
22/01/2021 18:12,99444
22/01/2021 18:19,100306
22/01/2021 18:19,100306
22/01/2021 18:29,100875
22/01/2021 18:29,100875
22/01/2021 18:39,101403
22/01/2021 18:39,101403
22/01/2021 18:50,101962
22/01/2021 18:54,102120
22/01/2021 18:59,102432
22/01/2021 19:04,102736
22/01/2021 19:04,102736
22/01/2021 19:11,102982
22/01/2021 19:17,103362
22/01/2021 19:17,103362
22/01/2021 19:17,103362
22/01/2021 19:34,104090
22/01/2021 19:39,104265
22/01/2021 21:09,106487
22/01/2021 21:09,106487
22/01/2021 21:34,427372
22/01/2021 21:34,427372
22/01/2021 21:34,427372
22/01/2021 21:34,427372
22/01/2021 21:34,427372
22/01/2021 21:34,427372
22/01/2021 21:34,427372
22/01/2021 21:34,427372
22/01/2021 21:34,427372
22/01/2021 22:16,107102
22/01/2021 22:16,107102
22/01/2021 22:16,107102
22/01/2021 22:16,107102
22/01/2021 22:16,107102
22/01/2021 22:16,107102
22/01/2021 22:16,107102
22/01/2021 22:16,107102
22/01/2021 22:16,107102
22/01/2021 22:16,107102
22/01/2021 22:16,107102
22/01/2021 22:16,107102
22/01/2021 22:16,107102
22/01/2021 22:16,107102
22/01/2021 22:16,107102
22/01/2021 22:16,107102
22/01/2021 22:16,107102
22/01/2021 22:16,107102
22/01/2021 22:16,107102
22/01/2021 22:16,107102
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
22/01/2021 23:55,107399
23/01/2021 07:25,107890
23/01/2021 07:30,107938
23/01/2021 07:30,107938
23/01/2021 07:35,108010
23/01/2021 07:40,108075
23/01/2021 07:40,108075
23/01/2021 07:50,108241
23/01/2021 07:55,108304
23/01/2021 08:05,108476
23/01/2021 08:10,108562
23/01/2021 08:10,108562
23/01/2021 08:20,108778
23/01/2021 08:20,108778
23/01/2021 08:30,109022
23/01/2021 08:30,109022
23/01/2021 08:40,109242
23/01/2021 08:40,109242
23/01/2021 08:50,109624
23/01/2021 08:50,109624
23/01/2021 08:55,109832
23/01/2021 09:05,110171
