Data,Vacinados,Delta
2021-01-22 14:02:00,76566,309.0
2021-01-22 14:13:00,77868,1302.0
2021-01-22 14:16:00,77967,99.0
2021-01-22 14:23:00,78510,543.0
2021-01-22 14:30:00,79137,627.0
2021-01-22 14:37:00,80043,906.0
2021-01-22 14:44:00,80599,556.0
2021-01-22 14:58:00,82535,1936.0
2021-01-22 15:12:00,83648,1113.0
2021-01-22 15:19:00,84250,602.0
2021-01-22 15:26:00,85611,1361.0
2021-01-22 15:33:00,86267,656.0
2021-01-22 15:40:00,87509,1242.0
2021-01-22 15:47:00,88115,606.0
2021-01-22 15:54:00,88156,41.0
2021-01-22 16:01:00,89495,1339.0
2021-01-22 16:08:00,90070,575.0
2021-01-22 16:15:00,91108,1038.0
2021-01-22 16:22:00,91510,402.0
2021-01-22 16:29:00,91917,407.0
2021-01-22 16:50:00,93923,2006.0
2021-01-22 16:57:00,94409,486.0
2021-01-22 17:04:00,94941,532.0
2021-01-22 17:30:00,387988,293047.0
2021-01-22 17:35:00,22618,-365370.0
2021-01-22 17:39:00,94941,72323.0
2021-01-22 17:46:00,97345,2404.0
2021-01-22 17:53:00,97345,0.0
2021-01-22 07:53:00,56557,-40788.0
2021-01-22 18:08:00,99317,42760.0
2021-01-22 18:12:00,99444,127.0
2021-01-22 18:19:00,100306,862.0
2021-01-22 18:29:00,100875,569.0
2021-01-22 18:39:00,101403,528.0
2021-01-22 18:50:00,101962,559.0
2021-01-22 18:54:00,102120,158.0
2021-01-22 18:59:00,102432,312.0
2021-01-22 19:04:00,102736,304.0
2021-01-22 19:11:00,102982,246.0
2021-01-22 19:17:00,103362,380.0
2021-01-22 19:34:00,104090,728.0
2021-01-22 19:39:00,104265,175.0
2021-01-22 21:09:00,106487,2222.0
2021-01-22 21:34:00,427372,320885.0
2021-01-22 22:16:00,107102,-320270.0
2021-01-22 23:55:00,107399,297.0
2021-01-23 07:25:00,107890,491.0
2021-01-23 07:30:00,107938,48.0
2021-01-23 07:35:00,108010,72.0
2021-01-23 07:40:00,108075,65.0
2021-01-23 07:50:00,108241,166.0
2021-01-23 07:55:00,108304,63.0
2021-01-23 08:05:00,108476,172.0
2021-01-23 08:10:00,108562,86.0
2021-01-23 08:20:00,108778,216.0
2021-01-23 08:30:00,109022,244.0
2021-01-23 08:40:00,109242,220.0
2021-01-23 08:50:00,109624,382.0
2021-01-23 08:55:00,109832,208.0
2021-01-23 09:05:00,110171,339.0
2021-01-23 09:10:00,110338,167.0
2021-01-23 09:15:00,110564,226.0
2021-01-23 09:25:00,110789,225.0
2021-01-23 09:30:00,111138,349.0
2021-01-23 09:35:00,111344,206.0
2021-01-23 09:40:00,111575,231.0
2021-01-23 09:50:00,112018,443.0
2021-01-23 09:55:00,112212,194.0
2021-01-23 10:05:00,112659,447.0
2021-01-23 10:10:00,112839,180.0
2021-01-23 10:15:00,112999,160.0
2021-01-23 10:25:00,113473,474.0
2021-01-23 10:30:00,113681,208.0
2021-01-23 10:35:00,113873,192.0
2021-01-23 10:40:00,114064,191.0
2021-01-23 10:50:00,114410,346.0
2021-01-23 10:55:00,114620,210.0
2021-01-23 11:05:00,114964,344.0
2021-01-23 11:10:00,115063,99.0
